Resume_Text,Job_Description,Match_Label
"Skills: Patient Care, Medical Terminology, EHR Systems. Experience: Registered Nurse at City Hospital. Projects: Emergency Response Training, Vaccine Distribution.","Seeking RN with 3+ years experience in acute care settings and emergency response training.",1
"Skills: Curriculum Development, Classroom Management, Special Education. Experience: High School Teacher at Springfield School District. Projects: STEM Program Development.","Mathematics teacher needed with experience in curriculum development and inclusive education practices.",1
"Skills: Financial Analysis, Risk Assessment, GAAP Compliance. Experience: Senior Accountant at Liberty Financial. Projects: M&A Due Diligence.","Corporate finance manager required with CFA certification and merger experience.",1
"Skills: Pharmacology, Clinical Research, FDA Regulations. Experience: Pharmaceutical Sales Rep at MedCorp. Projects: Vaccine Awareness Campaigns.","Marketing manager needed for OTC healthcare products with medical background.",0
"Skills: AutoCAD, Structural Design, Building Codes. Experience: Civil Engineer at UrbanDevelopers. Projects: Highway Infrastructure Project.","Architectural designer position requiring BIM expertise and sustainable design experience.",0
"Skills: Python, SQL, Machine Learning. Experience: Data Science Assurance Associate at Ernst & Young LLP. Projects: Fraud Analytics, Chatbot, Information Governance.","Data Scientist needed with experience in Python, SQL, and machine learning for fraud analytics and automation projects.",1
"Skills: Matlab, Python, Java, LabView. Experience: Data Scientist at Matelabs. Projects: Auto preprocessing, time series forecasting, outlier detection.","Looking for a Data Scientist with experience in Matlab, Python, and time series forecasting for analytics platform.",1
"Skills: R, Python, SAP HANA, Tableau. Experience: Consultant at Deloitte USI. Projects: Handwriting recognition, financial analytics, healthcare analytics.","Business analytics consultant required with R, Python, and SAP HANA experience for financial and healthcare analytics projects.",1
"Skills: C, Data Analysis, Python, Core Java. Experience: Data Science internship at Itechpower.","Entry-level data analyst with Python and Java skills needed for internship position.",1
"Skills: Python, Tableau, Data Visualization, R Studio, Machine Learning. Experience: Data Science Consultant at Datamites.","Seeking data science consultant with strong Python, Tableau, and machine learning background for client analytics projects.",1
"Skills: Numpy, Machine Learning, Tensorflow, Scikit, Python, GCP, Pandas, Neural Network. Experience: Wipro Technologies.","Machine learning engineer with experience in Python, Tensorflow, and cloud platforms required for software development.",1
"Skills: Python, SQL, Data Visualization. Experience: Data Science Assurance Associate at Ernst & Young LLP.","Java developer with web development experience required for e-commerce platform.",0
"Skills: Matlab, Python, Java. Experience: Data Scientist at Matelabs.","Marketing manager with experience in digital campaigns and brand management needed.",0
"Skills: R, Tableau, SAP HANA. Experience: Consultant at Deloitte USI.","Front-end developer with React and JavaScript experience required for UI projects.",0
"Skills: Java, Spring Boot, Microservices. Experience: Backend Developer at Infosys.","Backend developer with Java and microservices experience needed for fintech platform.",1
"Skills: HTML, CSS, JavaScript, React. Experience: Frontend Developer at Webify.","Frontend developer with React and JavaScript experience required for UI projects.",1
"Skills: AWS, Docker, Kubernetes, Python. Experience: DevOps Engineer at CloudOps.","DevOps engineer with AWS and Kubernetes experience needed for cloud migration.",1
"Skills: SQL, Tableau, Power BI. Experience: Data Analyst at DataCorp.","Data analyst with SQL and Power BI experience required for business intelligence team.",1
"Skills: Python, Django, REST API. Experience: Software Engineer at CodeBase.","Software engineer with Django and REST API experience needed for SaaS product.",1
"Skills: C++, Embedded Systems, RTOS. Experience: Embedded Engineer at MicroTech.","Embedded engineer with C++ and RTOS experience required for IoT device development.",1
"Skills: JavaScript, Node.js, Express. Experience: Full Stack Developer at Stackify.","Full stack developer with Node.js and Express experience needed for web application.",1
"Skills: PHP, Laravel, MySQL. Experience: Web Developer at WebWorks.","Web developer with PHP and Laravel experience required for e-commerce website.",1
"Skills: Python, PyTorch, Deep Learning. Experience: AI Researcher at DeepAI.","AI researcher with deep learning and PyTorch experience needed for NLP projects.",1
"Skills: Scala, Spark, Hadoop. Experience: Big Data Engineer at DataLake.","Big data engineer with Spark and Hadoop experience required for analytics pipeline.",1
